"Agency","Program","Population","County","Units/Beds","Occupied","Open","Contact"
"Advance Housing Inc","Advance Housing - Sussex Special Needs - Sussex","SMF=Single Males and Females 18 years and older","SUSSEX","4","4","0","Cindy Everitt:: 973 940 - 8882"
"Advance Housing Inc","Advance Housing - Wishing Well - Sussex","SMF=Single Males and Females 18 years and older","SUSSEX","4","4","0","Cindy Everitt:: 973 940 - 8882"
"AIDS Resource Foundation for Children","ARFC-Roseville Manor-Essex","HC=Households with Children","ESSEX","30","25","4","Melonie Grier:: 973 643 - 0400"
"AIDS Resource Foundation for Children","ARFC-St.Clares Homes Prop Inc.- Essex","HC=Households with Children","ESSEX","40","32","2","Melonie Grier:: 973 643 - 0400"
"AIDS Resource Foundation for Children","ARFC-Brighter Beginnings-Essex","SF=Single Females 18 years and older","ESSEX","6","5","1","Melonie Grier:: 973 643 - 0400"
"AIDS Resource Foundation for Children","ARFC-St. Clare's Residence-Essex","SMF+HC=Single Male and Female and Households with Children","ESSEX","16","0","16","973 643 - 0400"
"AIDS Resource Foundation for Children","ARFC-ShelterPlusCare-Essex","SMF+HC=Single Male and Female and Households with Children","ESSEX","18","19","1","Melonie Grier:: 973 643 - 0400"
"Alternatives","Alt-PH2Thompson-Somerset","SMF=Single Males and Females 18 years and older","SOMERSET","5","4","1","Nicole Zenner:: 908 685 - 1441"
"Alternatives","Alt PSH- Warren County","SMF=Single Males and Females 18 years and older","WARREN","4","4","0","Nicole Zenner:: 908 685 - 1444"
"Alternatives","Alt - CSP 3 W. Maple Ave - Somerset","SMF=Single Males and Females 18 years and older","SOMERSET","4","3","1","Nicole Zenner:: 908 685 - 1444"
"Alternatives","Alt-PH1-Somerset","SMF=Single Males and Females 18 years and older","SOMERSET","4","4","0","Nicole Zenner:: 908 685 - 1444"
"Alternatives","Alt Shelter Plus Care Warren","SMF=Single Males and Females 18 years and older","WARREN","8","5","2","Nicole Zenner:: 908 685 - 1444"
"Alternatives","Alt PSH IV Somerset","SMF=Single Males and Females 18 years and older","SOMERSET","1","1","0","Nicole Zenner:: 908 685 - 1444"
"Anchor House","Anchor House Anchorage Mercer","SMF=Single Males and Females 18 years and older","MERCER","6","5","1","Benjamin Thornton:: 609 989 - 1625"
"Anchor House","Anchor House Anchor Line Mercer","SMF=Single Males and Females 18 years and older","MERCER","4","3","1","Benjamin Thornton:: 609 218 - 5630"
"Anderson House","AH Transitional Housing Blue Hill","SF=Single Females 18 years and older","HUNTERDON","5","3","2","908 534 - 3475"
"Anderson House","AH Transitional Housing Jerica Hill Hunterdon","SF=Single Females 18 years and older","HUNTERDON","6","3","3","908 751 - 1642"
"Atlantic City Rescue Mission","ACRM-MAIN-Atlantic","SMF=Single Males and Females 18 years and older","ATLANTIC","425","481","-56","Steven Bybee:: 609 345 - 5517"
"Belmont Homes Housing Program","Belmont Homes ES Burlington","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","43","38","5","Ella Brown-Hughes:: 609 518 - 7082"
"Birth Haven","BHS Birth Haven Sussex","SF+HC=Single Females and Households with Children","SUSSEX","9","8","1","Tina Figurelli:: 973 579 - 7979"
"Bridgeway Inc","Bridgeway Rehab-SPC-CSP-Union","SMF=Single Males and Females 18 years and older","UNION","11","10","1","908 249 - 4100"
"Bridgeway Inc","Bridgeway Rehab-SPC778-Union","SMF+HC=Single Male and Female and Households with Children","UNION","20","11","3","Nancy Schneeloch:: 908 355 - 7886"
"Bridgeway Inc","Bridgeway Inc-SHP-Union","SMF=Single Males and Females 18 years and older","UNION","6","4","2","Nancy Schneeloch:: 908 249 - 4100"
"Bridgeway Inc","Bridgeway Rehab -SPC-Plainfield 15A-Union","SMF+HC=Single Male and Female and Households with Children","UNION","15","14","4","Nancy Schneeloch:: 908 249 - 4100"
"Bridgeway Inc","Bridgeway Rehab-SPC-Plainfield 25-Union","SMF+HC=Single Male and Female and Households with Children","UNION","25","23","5","Nancy Schneeloch:: 908 249 - 4100"
"Bridgeway Inc","Bridgeway Rehab-SPlusC-EHA-Union","SMF+HC=Single Male and Female and Households with Children","UNION","45","46","12","Nancy Schneeloch:: 908 355 - 7886"
"Burlington County Community Action Program BCCAP","BCCAP - Working Poor Program - Burlington","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","1","0","1","Gerry Myers:: 609 239 - 4008"
"Burlington County Community Action Program BCCAP","BCCAP Permanent Supportive Housing Burlington","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","5","1","0","Gerry Myers:: 609 239 - 4008"
"Burlington County Community Action Program BCCAP","BCCAP - Veterans TH Program - Burlington","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","1","0","1","Gerry Myers:: 609 239 - 4008"
"Camden Center for Family Services","CFS/Camden Homebase Group Home Camden","SM=Single Males 18 years and older","CAMDEN","12","11","0","Yahya Rahman:: 856 964 - 0061"
"Camden Center for Family Services","CFS GrandSlam Supportive Apartment - Camden","SF=Single Females 18 years and older","CAMDEN","3","3","0","Dwayne Ingram:: 856 757 - 9450"
"Camden Center for Family Services","CFS /Camden Grandslam Transitional Living","YMF=Unaccompanied Young Males and Females under 18","CAMDEN","6","5","0","Dwayne Ingram:: 856 964 - 1990"
"Camden Center for Family Services","Camden HomeBase Supportive Apartments 2","SM+HC=Single Males and Households with Children","CAMDEN","2","1","0","856 757 - 9450"
"Camden Center for Family Services","CFS Camden Dreams - Camden","SMF+HC=Single Male and Female and Households with Children","CAMDEN","13","12","2","Dwayne Ingram:: 856 757 - 9450"
"Camden Center for Family Services","GrandSlam Supportive Housing 2","SMF+HC=Single Male and Female and Households with Children","CAMDEN","3","2","0",
"Camden City","Camden City-HOPWA-Camden","SMF+HC=Single Male and Female and Households with Children","CAMDEN","71","64","0","856 757 - 7689"
